conseq	area-under-curve
stop_gained&inframe_deletion&splice_region_variant	5006.0	
splice_acceptor_variant&splice_polypyrimidine_tract_variant&3_prime_UTR_variant&intron_variant	5006.0	
protein_altering_variant&NMD_transcript_variant	5006.0	
splice_donor_variant&splice_donor_region_variant&coding_sequence_variant&intron_variant&NMD_transcript_variant	5006.0	
inframe_insertion&incomplete_terminal_codon_variant&coding_sequence_variant	5006.0	
protein_altering_variant&incomplete_terminal_codon_variant	5006.0	
stop_gained&frameshift_variant&start_lost	5006.0	
splice_acceptor_variant&splice_polypyrimidine_tract_variant&coding_sequence_variant&5_prime_UTR_variant&intron_variant	5006.0	
splice_donor_variant&3_prime_UTR_variant&NMD_transcript_variant	5006.0	
splice_donor_variant&splice_donor_5th_base_variant&coding_sequence_variant&intron_variant&NMD_transcript_variant	5006.0	
splice_donor_variant&coding_sequence_variant&5_prime_UTR_variant	5006.0	
inframe_insertion&splice_region_variant&NMD_transcript_variant	5006.0	
stop_lost&splice_region_variant&3_prime_UTR_variant	5006.0	
start_lost&splice_region_variant&5_prime_UTR_variant	5006.0	
non_coding_transcript_variant	5006.0	
splice_donor_variant&splice_donor_5th_base_variant&coding_sequence_variant&3_prime_UTR_variant&intron_variant	5006.0	
splice_donor_variant&splice_donor_region_variant&coding_sequence_variant&3_prime_UTR_variant&intron_variant	5006.0	
frameshift_variant&start_lost&splice_region_variant	5006.0	
frameshift_variant&stop_lost&NMD_transcript_variant	5006.0	
stop_gained&frameshift_variant&splice_region_variant&NMD_transcript_variant	5006.0	
stop_gained&inframe_deletion&NMD_transcript_variant	5006.0	
splice_donor_variant&splice_donor_region_variant&3_prime_UTR_variant&intron_variant&NMD_transcript_variant	5006.0	
stop_gained&frameshift_variant&start_lost&start_retained_variant	5006.0	
splice_donor_variant&splice_donor_5th_base_variant&intron_variant&NMD_transcript_variant	5006.0	
inframe_insertion&incomplete_terminal_codon_variant	5006.0	
missense_variant&splice_donor_region_variant	5006.0	
stop_lost&splice_region_variant&NMD_transcript_variant	5006.0	
frameshift_variant&start_lost&splice_region_variant&start_retained_variant	5006.0	
stop_retained_variant&3_prime_UTR_variant&NMD_transcript_variant	5006.0	
splice_acceptor_variant&coding_sequence_variant&5_prime_UTR_variant	5006.0	
splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	5006.0	
stop_gained&inframe_insertion&NMD_transcript_variant	5006.0	
splice_acceptor_variant&splice_polypyrimidine_tract_variant&5_prime_UTR_variant&intron_variant&NMD_transcript_variant	5006.0	
splice_acceptor_variant&splice_polypyrimidine_tract_variant&coding_sequence_variant&3_prime_UTR_variant&intron_variant&NMD_transcript_variant	5006.0	
frameshift_variant&start_lost&start_retained_variant&NMD_transcript_variant	5006.0	
splice_region_variant&stop_retained_variant&NMD_transcript_variant	5006.0	
splice_donor_variant&coding_sequence_variant&3_prime_UTR_variant	5006.0	
splice_donor_variant&splice_donor_5th_base_variant&5_prime_UTR_variant&intron_variant&NMD_transcript_variant	5006.0	
stop_lost&inframe_deletion&stop_retained_variant	5006.0	
splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&intron_variant	5006.0	
start_retained_variant&5_prime_UTR_variant	5006.0	
splice_donor_variant&splice_acceptor_variant&splice_donor_5th_base_variant&inframe_deletion&splice_polypyrimidine_tract_variant&intron_variant	5006.0	
start_lost&synonymous_variant	5006.0	
splice_donor_variant&splice_polypyrimidine_tract_variant&non_coding_transcript_variant	5006.0	
stop_gained&inframe_insertion&incomplete_terminal_codon_variant&coding_sequence_variant	5006.0	
frameshift_variant&splice_region_variant&stop_retained_variant	5006.0	
inframe_insertion&stop_retained_variant&NMD_transcript_variant	5006.0	
splice_acceptor_variant&splice_donor_variant&splice_donor_5th_base_variant&stop_lost&protein_altering_variant&splice_polypyrimidine_tract_variant&intron_variant	5006.0	
missense_variant&splice_polypyrimidine_tract_variant&splice_region_variant	5006.0	
frameshift_variant&splice_donor_region_variant	5006.0	
start_lost&splice_region_variant&synonymous_variant	5006.0	
splice_donor_variant&splice_donor_region_variant&non_coding_transcript_exon_variant&intron_variant	5005.984375	
splice_donor_variant&splice_donor_region_variant&intron_variant&NMD_transcript_variant	5005.96875	
protein_altering_variant&splice_region_variant	5005.967741935484	
inframe_deletion&splice_region_variant&NMD_transcript_variant	5005.958333333333	
splice_donor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&3_prime_UTR_variant&intron_variant	5005.958333333333	
splice_acceptor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&coding_sequence_variant&intron_variant	5005.954545454546	
splice_donor_variant&splice_donor_5th_base_variant&3_prime_UTR_variant&intron_variant&NMD_transcript_variant	5005.95	
splice_donor_variant&splice_donor_region_variant&5_prime_UTR_variant&intron_variant	5005.9473684210525	
splice_acceptor_variant&coding_sequence_variant&3_prime_UTR_variant	5005.944444444444	
start_lost&start_retained_variant	5005.944444444444	
start_lost&5_prime_UTR_variant&NMD_transcript_variant	5005.944444444444	
splice_acceptor_variant&3_prime_UTR_variant&NMD_transcript_variant	5005.944444444444	
incomplete_terminal_codon_variant&coding_sequence_variant&3_prime_UTR_variant	5005.9375	
splice_donor_variant&splice_donor_5th_base_variant&3_prime_UTR_variant&intron_variant	5005.918604651162	
splice_donor_variant&3_prime_UTR_variant	5005.916666666667	
stop_lost&inframe_deletion&splice_region_variant	5005.875	
splice_donor_region_variant&non_coding_transcript_exon_variant	5005.875	
splice_donor_variant&splice_acceptor_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant&intron_variant	5005.869565217391	
stop_gained&inframe_insertion&splice_region_variant	5005.862068965517	
splice_region_variant&splice_polypyrimidine_tract_variant&non_coding_transcript_exon_variant	5005.857142857143	
frameshift_variant&stop_lost&splice_region_variant	5005.785714285714	
splice_donor_variant&splice_donor_region_variant&coding_sequence_variant&intron_variant	5005.781368821293	
splice_donor_variant&splice_donor_region_variant&3_prime_UTR_variant&intron_variant	5005.7692307692305	
stop_lost&splice_region_variant	5005.764705882353	
start_lost&5_prime_UTR_variant	5005.762222222222	
splice_donor_variant&splice_donor_region_variant&intron_variant&non_coding_transcript_variant	5005.712121212121	
stop_retained_variant&NMD_transcript_variant	5005.705128205128	
splice_donor_variant&splice_acceptor_variant&splice_donor_5th_base_variant&stop_lost&inframe_deletion&splice_polypyrimidine_tract_variant&intron_variant	5005.642857142857	
coding_sequence_variant&5_prime_UTR_variant&NMD_transcript_variant	5005.642857142857	
splice_acceptor_variant&splice_polypyrimidine_tract_variant&coding_sequence_variant&3_prime_UTR_variant&intron_variant	5005.626315789474	
splice_region_variant&stop_retained_variant	5005.611111111111	
frameshift_variant&start_lost	5005.583720930233	
